"name.cmpd","IC50","SMILES"
"mPP-0117",1455.87124111046,"CC(OCC(C=C12)=C3C1=C(C=CC(C(C)C)=C3)C=C(C(F)(F)F)C2=O)=O"
"mPP-0078",2674.85052198937,"O=CC(C=C12)=C3C1=C(C=CC(C(C)C)=C3)CC(C(F)(F)F)(O)C2=O"
"mPP-0078",5239.72771868926,"O=CC(C=C12)=C3C1=C(C=CC(C(C)C)=C3)CC(C(F)(F)F)(O)C2=O"
"mPP-0084",8293.52389262724,"O=C(CCSC1=C2C3=C(C=C(C2=O)C(F)(F)F)C=CC(C(C)C)=CC3=C1C)O"
"mPP-0082",9291.958261988,"O=C(OC(C=C1)=C2C1=CC=C(C=C2)Cl)C3=CC=CN=C3"
"mPP-0082",14595.6540263822,"O=C(OC(C=C1)=C2C1=CC=C(C=C2)Cl)C3=CC=CN=C3"
"mPP-0083",9386.80463280459,"ClC(C=C1)=CC=C2C1=C(C=C2CN3CCOCC3)OC(C)=O"
"mPP-0120",9458.31662405111,"O=C1C(C(F)(F)F)=CC(C=CC(C(C)C)=C2)=C(C1=C3NC4=CC=CC=C4)C2=C3C"
"mPP-0079",9566.70927740668,"CC(C=C12)=C3C1=C(C=CC(C(C)C)=C3)C=C(C(F)(F)F)C2=O"
"mPP-0081",9990.34741564915,"O=C(OC(C=C1)=C2C1=CC=C(C=C2)Cl)C3=CC=CS3"
"mPP-0093",10275.2620595423,"O=C(NCCNC1=C2C3=C(C=C(C2=O)C(F)(F)F)C=CC(C(C)C)=CC3=C1C)OCC4=CC=CC=C4"
"mPP-0088",13026.385508365,"O=C(CCSC1C(C)=C2C=C(C=CC3=CC(C(F)(F)F)=C(O)C1=C23)C(C)C)O"
"mPP-0087",13660.4698361535,"O=C1C(C(F)(F)F)=CC2=C3C1=C(NCC4=CC=CO4)C(C)=C3C=C(C(C)C)C=C2"
"mPP-0085",13723.7617782525,"O=C1C(C(F)(F)F)=CC2=C3C1=C(NC(C)C)C(C)=C3C=C(C(C)C)C=C2"
"mPP-0187",14600.8418756846,"CC(C)C1=CC2=C(/C=C/C(O)=O)C(N)=C3C2=C(C=C(C(F)(F)F)C3=O)C=C1"
"mPP-0134",19178.9567548866,"CC(C)C1=CC2=C(C)C(NCC3=CC=C(C(O)=O)C=C3)=C4C2=C(C=C(C(F)(F)F)C4=O)C=C1"
"mPP-0098",21157.7654525887,"O=C1C(C(F)(F)F)=CC2=C3C1=C(NCC)C(C=O)=C3C=C(C(C)C)C=C2"
"mPP-0095",23056.5386214237,"O=C1C(C(F)(F)F)=CC(C=CC(C(C)C)=C2)=C(C1=C3N4CCOCC4)C2=C3C"
"mPP-0086",27711.6492705772,"CC(OCC(C=C12)=C3C1=C(C=CC(C(C)C)=C3)CC(C(F)(F)F)(O)C2=O)=O"
"mPP-0133",30129.8392637715,"CC(C)C1=CC2=C(C)C(NCCC3=CNC4=C3C=CC=C4)=C5C2=C(C=C(C(F)(F)F)C5=O)C=C1"
"mPP-0091",30911.5920816971,"O=C1C(C(F)(F)F)=CC2=C3C1=C(N)C(C)=C3C=C(C(C)C)C=C2"
"mPP-0094",35406.8060883802,"O=C(O)/C=C/C1=CC(C2=CC=CC=C2)=C3C1=CC=C(CCC4=CC=CC=C4)C=C3"
"mPP-0180",45544.8115278406,"CC(C)C1=CC2=C(C)C(NCC3=CC=C(CO)C=C3)=C4C2=C(C=C(C(F)(F)F)C4=O)C=C1"
"mPP-0090",66031.5455867122,"O=C1C(C(F)(F)F)=CC2=C3C1=C(NCCCN4C=CN=C4)C(C)=C3C=C(C(C)C)C=C2"
"mPP-0129",103759.993896969,"CC(C)C1=CC2=C(C)C(NCCC3=CNC=N3)=C4C2=C(C=C(C4=O)C(F)(F)F)C=C1"
"mPP-0103",110340.488261077,"CC1=CC2=C(C(C(F)(F)F)=CC(C=C3)=C2C1=CC3=O)OCC(O)=O"
"mPP-0096",125874.708618052,"O=C1C(C(F)(F)F)=CC2=C3C1=C(NCC(OC)OC)C(C)=C3C=C(C(C)C)C=C2"
"mPP-0185",227698.778515208,"CC(C)C1=CC2=C(/C=C/C#N)C(N)=C3C2=C(C=C(C(F)(F)F)C3=O)C=C1"
"mPP-0135",320474.610438429,"CC(C)C1=CC2=C(C)C(NCCCN3CCOCC3)=C4C2=C(C=C(C(F)(F)F)C4=O)C=C1"
"mPP-0102",NA,"O=C(CC(C=C1)=CC=C2C1=CC=C2)O"
"mPP-0100",NA,"CN(C(C(C(C=C1)=CC=C2C1=CC=C2)C(N(C)C)=O)=O)C"
"mPP-0097",NA,"C1(CCC(C=C2)=CC=C3C2=C(CN4CCCCC4)C=C3)=CC=CC=C1"
"mPP-0115",NA,"N1(CC(C=C2)=CC=C3C2=CC=C3)CCCCC1"
"mPP-0104",NA,"CCOC(C(C(C=C1)=CC=C2C1=CC=C2)C(OCC)=O)=O"
"mPP-0114",NA,"O=C1C(C(F)(F)F)=CC2=C3C1=C(NCC4=CC=CN=C4)C(C)=C3C=C(C(C)C)C=C2"
"mPP-0118",NA,"CC(C(C=CC(NC1=O)=C23)=CC2=C(C)C=C3C1=O)C"
"mPP-0119",NA,"CC1=CC2=C(C(OCC(O)=O)=CC(C=C3)=C2C1=CC3=O)C(F)(F)F"
"mPP-0080",NA,"O=C1C(C(F)(F)F)=CC2=C3C1=C(NC)C(C)=C3C=C(C(C)C)C=C2"
"mPP-0076",NA,"O=C1C(C(F)(F)F)=CC2=C3C1=C(NCCO)C(C)=C3C=C(C(C)C)C=C2"
"mPP-0130",NA,"CC1=C2C(C3=C1NCCCO)=C(C=C(C(F)(F)F)C3=O)C=CC(C(C)C)=C2"
"mPP-0131",NA,"CC(C)C1=CC2=C(/C=N/CCC(OCC)=O)C(N)=C3C2=C(C=C(C(F)(F)F)C3=O)C=C1"
"mPP-0132",NA,"CC(C)C1=CC2=C(C=O)C(NCCO)=C3C2=C(C=C(C(F)(F)F)C3=O)C=C1"
"mPP-0138",NA,"O=C1C=CC2=C(C(C=C3C)=C(C(F)(F)F)C(OCC4=NC(C=CC=C5)=C5N4)=C2)C3=C1"
"mPP-0177",NA,"CC(C)(OC)C1=CC2=C(C)C(NCCO)=C3C2=C(C=C(C3=O)C(F)(F)F)C=C1"
"mPP-0178",NA,"CC(C)(O)C1=CC2=C(C)C(NCCO)=C3C2=C(C=C(C3=O)C(F)(F)F)C=C1"
"mPP-0183",NA,"CC(C)C1=CC2=C3C(NCCOC3=O)=C4C2=C(C=C(C(F)(F)F)C4=O)C=C1"
"mPP-0184",NA,"CC(C)C1=CC2=C(/C=C/C(OC)=O)C(N)=C3C2=C(C=C(C(F)(F)F)C3=O)C=C1"
"mPP-0225",NA,"CC(C)C1=CC2=C(C)C(NCCN3C(SCC3=O)=O)=C4C2=C(C=C(C(F)(F)F)C4=O)C=C1"
"mPP-0227",NA,"C12=CC=CC=CC1=CC(C3=CC=CC=C3)=N2"
"mPP-0255",NA,"CC(C)(C)C1=CC(C2=CC(C(O)=O)=NO2)=CC=C1"
"mPP-0254",NA,"CC1=CC(C2=CC(C(O)=O)=NO2)=CC=C1"
